Datetime,PM2.5,PM10,NO2,O3,SO2,CO
2024-01-01 00:00:00,23,52,41,30,4,9
2024-01-01 01:00:00,73,63,20,28,14,3
2024-01-01 02:00:00,61,22,38,10,15,1
2024-01-01 03:00:00,19,93,14,39,16,4
2024-01-01 04:00:00,48,49,42,22,18,7
2024-01-01 05:00:00,66,59,12,16,3,6
2024-01-01 06:00:00,70,33,13,13,17,5
2024-01-01 07:00:00,77,72,41,19,13,8
2024-01-01 08:00:00,35,95,16,5,19,6
2024-01-01 09:00:00,14,90,18,27,15,1
2024-01-01 10:00:00,10,72,9,9,3,9
2024-01-01 11:00:00,60,37,40,36,1,9
2024-01-01 12:00:00,69,44,27,25,16,1
2024-01-01 13:00:00,72,76,5,22,6,2
2024-01-01 14:00:00,45,25,9,33,8,2
2024-01-01 15:00:00,31,44,49,30,15,6
2024-01-01 16:00:00,22,88,13,28,11,9
2024-01-01 17:00:00,67,71,27,18,5,5
2024-01-01 18:00:00,33,82,33,9,10,4
2024-01-01 19:00:00,55,28,32,34,11,2
2024-01-01 20:00:00,51,67,46,32,2,9
2024-01-01 21:00:00,30,58,25,26,6,9
2024-01-01 22:00:00,63,90,20,31,14,1
2024-01-01 23:00:00,33,28,6,37,7,9
2024-01-02 00:00:00,74,82,45,23,16,6
2024-01-02 01:00:00,24,79,25,17,7,7
2024-01-02 02:00:00,52,38,18,27,18,5
2024-01-02 03:00:00,55,58,25,30,6,8
2024-01-02 04:00:00,77,85,33,37,14,4
2024-01-02 05:00:00,26,36,24,33,7,6
2024-01-02 06:00:00,65,40,17,11,1,9
2024-01-02 07:00:00,32,38,11,21,16,1
2024-01-02 08:00:00,11,58,31,30,19,2
2024-01-02 09:00:00,56,92,28,34,1,9
2024-01-02 10:00:00,47,96,22,24,13,6
2024-01-02 11:00:00,56,29,45,22,1,6
2024-01-02 12:00:00,17,22,15,32,10,3
2024-01-02 13:00:00,14,53,24,27,10,6
2024-01-02 14:00:00,12,68,48,8,9,7
2024-01-02 15:00:00,66,34,34,27,12,6
2024-01-02 16:00:00,60,89,17,18,18,4
2024-01-02 17:00:00,19,20,33,27,7,1
2024-01-02 18:00:00,37,29,37,15,11,8
2024-01-02 19:00:00,34,80,25,34,2,3
2024-01-02 20:00:00,48,56,34,33,13,3
2024-01-02 21:00:00,12,20,9,35,8,1
2024-01-02 22:00:00,64,23,27,33,13,1
2024-01-02 23:00:00,66,65,27,19,3,6
2024-01-03 00:00:00,30,77,24,35,10,3
2024-01-03 01:00:00,52,98,6,30,11,6
2024-01-03 02:00:00,64,59,44,21,9,6
2024-01-03 03:00:00,73,77,35,37,4,6
2024-01-03 04:00:00,17,80,6,28,1,5
2024-01-03 05:00:00,22,76,21,16,15,1
2024-01-03 06:00:00,48,25,34,17,3,6
2024-01-03 07:00:00,66,94,11,35,8,4
2024-01-03 08:00:00,35,56,7,7,10,4
2024-01-03 09:00:00,16,60,43,36,11,2
2024-01-03 10:00:00,63,53,19,36,8,9
2024-01-03 11:00:00,57,24,24,20,9,6
2024-01-03 12:00:00,22,60,7,27,4,3
2024-01-03 13:00:00,63,41,6,37,12,4
2024-01-03 14:00:00,28,89,21,21,14,5
2024-01-03 15:00:00,55,47,15,20,4,1
2024-01-03 16:00:00,62,85,45,25,10,3
2024-01-03 17:00:00,28,37,42,34,15,9
2024-01-03 18:00:00,58,45,33,15,6,6
2024-01-03 19:00:00,59,98,41,9,18,1
2024-01-03 20:00:00,64,47,49,32,3,7
2024-01-03 21:00:00,53,51,34,12,9,2
2024-01-03 22:00:00,26,25,47,5,6,7
2024-01-03 23:00:00,31,24,29,23,16,5
2024-01-04 00:00:00,71,76,49,36,10,8
2024-01-04 01:00:00,34,86,49,30,17,8
2024-01-04 02:00:00,74,23,41,18,4,9
2024-01-04 03:00:00,25,64,21,39,10,3
2024-01-04 04:00:00,72,71,5,5,2,1
2024-01-04 05:00:00,20,35,40,22,2,8
2024-01-04 06:00:00,14,32,18,21,14,1
2024-01-04 07:00:00,33,23,43,21,4,7
2024-01-04 08:00:00,44,36,22,24,19,3
2024-01-04 09:00:00,24,63,12,11,13,5
2024-01-04 10:00:00,32,77,44,39,8,3
2024-01-04 11:00:00,39,53,47,24,4,4
2024-01-04 12:00:00,62,63,30,17,2,8
2024-01-04 13:00:00,26,24,27,39,13,9
2024-01-04 14:00:00,53,88,29,20,6,3
2024-01-04 15:00:00,12,43,17,12,12,3
2024-01-04 16:00:00,23,67,6,21,12,4
2024-01-04 17:00:00,56,50,49,9,1,1
2024-01-04 18:00:00,18,39,10,21,16,5
2024-01-04 19:00:00,42,37,26,33,16,5
2024-01-04 20:00:00,55,45,12,14,13,6
2024-01-04 21:00:00,71,95,8,30,3,4
2024-01-04 22:00:00,65,53,24,12,10,9
2024-01-04 23:00:00,13,53,5,17,4,8
2024-01-05 00:00:00,55,92,11,39,9,3
2024-01-05 01:00:00,31,61,16,25,10,3
2024-01-05 02:00:00,40,50,9,8,16,9
2024-01-05 03:00:00,10,27,35,6,18,1
2024-01-05 04:00:00,47,30,29,21,17,3
2024-01-05 05:00:00,26,77,31,19,17,5
2024-01-05 06:00:00,69,89,39,9,18,8
2024-01-05 07:00:00,71,70,33,8,6,2
2024-01-05 08:00:00,46,22,21,38,10,7
2024-01-05 09:00:00,16,65,35,7,12,2
2024-01-05 10:00:00,42,23,21,13,8,9
2024-01-05 11:00:00,46,28,21,19,15,2
2024-01-05 12:00:00,58,56,18,21,2,5
2024-01-05 13:00:00,29,72,46,38,5,9
2024-01-05 14:00:00,26,88,42,33,9,5
2024-01-05 15:00:00,25,98,31,35,11,5
2024-01-05 16:00:00,20,36,15,14,12,1
2024-01-05 17:00:00,22,55,26,8,16,3
2024-01-05 18:00:00,68,85,21,29,3,1
2024-01-05 19:00:00,68,62,21,14,14,3
2024-01-05 20:00:00,62,22,49,24,2,4
2024-01-05 21:00:00,50,40,28,14,5,8
2024-01-05 22:00:00,69,91,48,24,13,1
2024-01-05 23:00:00,17,29,34,20,1,8
2024-01-06 00:00:00,59,47,25,33,17,1
2024-01-06 01:00:00,70,55,21,27,19,5
2024-01-06 02:00:00,79,20,47,10,5,5
2024-01-06 03:00:00,64,43,35,39,17,8
2024-01-06 04:00:00,54,78,10,7,10,9
2024-01-06 05:00:00,68,57,17,7,3,7
2024-01-06 06:00:00,50,30,25,18,12,2
2024-01-06 07:00:00,28,30,5,27,19,4
2024-01-06 08:00:00,29,42,42,35,17,8
2024-01-06 09:00:00,26,22,12,27,7,3
2024-01-06 10:00:00,21,39,30,16,4,2
2024-01-06 11:00:00,64,48,43,30,19,4
2024-01-06 12:00:00,42,31,32,19,10,1
2024-01-06 13:00:00,71,59,24,36,11,8
2024-01-06 14:00:00,34,53,23,32,5,7
2024-01-06 15:00:00,18,83,42,34,5,7
2024-01-06 16:00:00,57,61,24,19,15,5
2024-01-06 17:00:00,23,45,27,23,6,1
2024-01-06 18:00:00,68,72,5,7,13,3
2024-01-06 19:00:00,78,50,38,8,14,7
2024-01-06 20:00:00,47,43,47,26,19,3
2024-01-06 21:00:00,11,36,29,10,2,8
2024-01-06 22:00:00,67,72,17,22,1,4
2024-01-06 23:00:00,18,84,15,27,15,5
2024-01-07 00:00:00,63,48,46,39,15,9
2024-01-07 01:00:00,14,32,23,10,15,7
2024-01-07 02:00:00,15,56,39,30,15,1
2024-01-07 03:00:00,72,59,26,32,11,3
2024-01-07 04:00:00,54,71,28,11,17,2
2024-01-07 05:00:00,55,30,30,14,8,3
2024-01-07 06:00:00,75,62,5,36,9,8
2024-01-07 07:00:00,74,68,11,33,16,7
2024-01-07 08:00:00,65,35,16,13,8,4
2024-01-07 09:00:00,70,45,44,25,12,9
2024-01-07 10:00:00,12,93,43,14,5,2
2024-01-07 11:00:00,26,49,49,9,11,3
2024-01-07 12:00:00,31,52,29,11,8,2
2024-01-07 13:00:00,34,77,48,7,5,6
2024-01-07 14:00:00,79,31,14,5,8,3
2024-01-07 15:00:00,10,89,10,9,9,7
2024-01-07 16:00:00,14,50,28,11,18,6
2024-01-07 17:00:00,73,53,39,36,1,5
2024-01-07 18:00:00,57,58,43,30,13,3
2024-01-07 19:00:00,46,85,38,26,4,1
2024-01-07 20:00:00,73,92,22,15,6,7
2024-01-07 21:00:00,43,79,41,30,6,1
2024-01-07 22:00:00,12,82,18,9,19,5
2024-01-07 23:00:00,17,54,31,13,8,2
2024-01-08 00:00:00,47,61,40,27,12,5
2024-01-08 01:00:00,49,67,18,28,19,1
2024-01-08 02:00:00,63,79,39,30,4,8
2024-01-08 03:00:00,18,77,40,11,17,8
2024-01-08 04:00:00,33,52,13,18,2,5
2024-01-08 05:00:00,22,78,15,5,14,5
2024-01-08 06:00:00,78,25,14,20,15,2
2024-01-08 07:00:00,51,69,44,23,9,2
2024-01-08 08:00:00,66,43,14,5,8,1
2024-01-08 09:00:00,36,78,42,31,19,4
2024-01-08 10:00:00,61,90,28,17,4,2
2024-01-08 11:00:00,57,67,30,11,13,2
2024-01-08 12:00:00,55,95,38,16,9,7
2024-01-08 13:00:00,49,50,25,24,16,3
2024-01-08 14:00:00,23,84,19,13,1,2
2024-01-08 15:00:00,39,44,35,24,2,8
2024-01-08 16:00:00,17,92,20,15,4,4
2024-01-08 17:00:00,72,26,16,29,18,5
2024-01-08 18:00:00,69,69,18,13,3,1
2024-01-08 19:00:00,48,32,49,15,12,1
2024-01-08 20:00:00,61,94,44,17,1,2
2024-01-08 21:00:00,13,40,6,7,14,2
2024-01-08 22:00:00,65,30,31,18,9,8
2024-01-08 23:00:00,28,37,5,37,13,8
2024-01-09 00:00:00,76,78,34,13,15,7
2024-01-09 01:00:00,51,52,29,6,14,8
2024-01-09 02:00:00,53,34,16,11,12,6
2024-01-09 03:00:00,25,82,8,9,8,8
2024-01-09 04:00:00,79,78,20,33,16,1
2024-01-09 05:00:00,66,38,33,36,7,1
2024-01-09 06:00:00,26,49,25,20,17,8
2024-01-09 07:00:00,39,33,6,23,3,4
