City,Datetime,PM2.5,PM10,NO2,O3,SO2
Kolkata,2023-06-01 00:00:00,51,136,20,43,26
Bangalore,2023-06-01 01:00:00,110,49,63,10,24
Chennai,2023-06-01 02:00:00,13,79,78,17,16
Bangalore,2023-06-01 03:00:00,84,103,47,43,27
Bangalore,2023-06-01 04:00:00,38,121,62,14,21
Mumbai,2023-06-01 05:00:00,120,10,35,10,39
Chennai,2023-06-01 06:00:00,129,50,13,8,16
Chennai,2023-06-01 07:00:00,33,75,52,36,34
Chennai,2023-06-01 08:00:00,40,121,51,35,28
Bangalore,2023-06-01 09:00:00,90,202,41,17,26
Kolkata,2023-06-01 10:00:00,46,79,35,30,1
Chennai,2023-06-01 11:00:00,58,26,59,57,29
Bangalore,2023-06-01 12:00:00,60,108,20,12,16
Mumbai,2023-06-01 13:00:00,5,149,24,5,12
Kolkata,2023-06-01 14:00:00,59,94,19,38,1
Mumbai,2023-06-01 15:00:00,35,49,41,28,17
Kolkata,2023-06-01 16:00:00,42,133,18,17,18
Bangalore,2023-06-01 17:00:00,110,119,26,41,2
Delhi,2023-06-01 18:00:00,16,43,25,45,1
Kolkata,2023-06-01 19:00:00,88,107,34,5,23
Mumbai,2023-06-01 20:00:00,50,134,10,18,28
Bangalore,2023-06-01 21:00:00,50,143,41,71,20
Kolkata,2023-06-01 22:00:00,87,87,64,40,31
Delhi,2023-06-01 23:00:00,71,73,42,42,16
Delhi,2023-06-02 00:00:00,79,145,70,51,17
Chennai,2023-06-02 01:00:00,93,35,66,30,6
Chennai,2023-06-02 02:00:00,48,109,55,44,1
Mumbai,2023-06-02 03:00:00,38,28,41,42,40
Kolkata,2023-06-02 04:00:00,22,137,40,39,31
Kolkata,2023-06-02 05:00:00,31,78,55,24,1
Chennai,2023-06-02 06:00:00,163,147,32,33,19
Kolkata,2023-06-02 07:00:00,103,112,5,19,16
Kolkata,2023-06-02 08:00:00,12,34,49,30,14
Delhi,2023-06-02 09:00:00,13,154,17,8,13
Chennai,2023-06-02 10:00:00,76,159,20,15,22
Bangalore,2023-06-02 11:00:00,79,129,40,24,27
Chennai,2023-06-02 12:00:00,79,55,38,13,22
Bangalore,2023-06-02 13:00:00,51,76,11,20,16
Delhi,2023-06-02 14:00:00,55,96,43,27,16
Mumbai,2023-06-02 15:00:00,71,58,59,37,29
